company,website,story_cluster,tags,description,why_you_have_a_case,profile_evidence,target_roles,priority,organization_type,team_size,city,source_url,verification_status
Ramp,https://ramp.com,fintech_billing_trust,"fintech,payments,billing,workflow-automation,data","Corporate spend, procurement, card, and finance automation platform.","Intuit billing/SMB-finance experience maps to finance workflows, trust, spend controls, and automation.","Intuit engineering; billing/financial systems; MBA strategy and product transition.","Product, fintech product, platform product, strategy",dream,company,1000+ employees,,https://ramp.com,manual_seed
Stripe,https://stripe.com,fintech_billing_trust,"fintech,payments,billing,developer-tools,api","Payments and financial infrastructure platform.","Intuit billing plus engineering/API background gives a real angle into payments infrastructure and developer-facing fintech.","Intuit billing/financial systems; backend/API engineering; Hevo connector experience.","Product, platform product, payments product, developer product",dream,company,1000+ employees,,https://stripe.com,manual_seed
Recurly,https://recurly.com,fintech_billing_trust,"billing,fintech,payments,saas,workflow-automation","Subscription billing and revenue management platform.","Intuit billing work gives a focused pitch around billing workflows, SMB finance, and subscription monetization.","Intuit billing/financial systems; backend engineering; MBA product strategy.","Product, billing product, platform product, strategy",priority,company,200+ employees,,https://recurly.com,manual_seed
Plaid,https://plaid.com,fintech_billing_trust,"fintech,api,data-platform,payments,developer-tools","Financial data API and payments infrastructure platform.","Intuit and Hevo together support a pitch around financial data, APIs, integrations, and trust.","Intuit financial systems; Hevo connector/data integration experience; backend/API engineering.","Product, platform product, API product, fintech product",priority,company,1000+ employees,,https://plaid.com,manual_seed
Redox,https://www.redoxengine.com,healthtech_interop,"healthcare,healthtech,integration,api,data-platform","Healthcare interoperability and integration platform.","Optum plus Hevo API/integration background creates a direct healthcare data workflow pitch.","Optum healthcare exposure; Hevo integration/data platform work; regulated workflow familiarity.","Product, interoperability product, platform product, solutions/product strategy",priority,company,200+ employees,,https://www.redoxengine.com,manual_seed
Commure,https://www.commure.com,healthtech_interop,"healthcare,healthtech,workflow-automation,data-platform,artificial-intelligence","Healthcare workflow and technology platform.","Optum and AI workflow work support a pitch around care workflows, provider operations, and regulated AI products.","Optum healthcare exposure; FlairX applied AI PM work; backend/data systems.","Product, AI product, healthcare product, strategy and operations",priority,company,200+ employees,,https://www.commure.com,manual_seed
Abridge,https://www.abridge.com,healthtech_interop,"healthcare,healthtech,artificial-intelligence,workflow-automation,nlp","AI clinical documentation platform.","Optum and applied AI workflow experience create a credible angle around clinician workflow automation and human review boundaries.","Optum healthcare exposure; FlairX AI PM internship; L'Oreal AI workflow project.","Product, AI product, clinical workflow product, strategy",priority,company,200+ employees,,https://www.abridge.com,manual_seed
Retool,https://retool.com,ai_workflow_productivity,"developer-tools,workflow-automation,data-platform,artificial-intelligence,productivity","Platform for internal tools, apps, workflows, and AI agents.","ResumeGenerator/Outreach plus engineering background gives a direct pitch around internal tools, workflow automation, and AI-assisted operations.","Built ResumeGenerator and Outreach engine; backend/platform engineering; MBA/operator angle.","Product, developer product, AI workflow product, strategy",dream,company,200+ employees,,https://retool.com,manual_seed
Zapier,https://zapier.com,ai_workflow_productivity,"workflow-automation,productivity,integration,artificial-intelligence,api","Automation platform connecting business apps and workflows.","ResumeGenerator/Outreach and Hevo integration background create a real workflow automation and connector story.","Hevo connectors/integrations; ResumeGenerator/Outreach automation; L'Oreal AI workflow project.","Product, automation product, integrations product, AI workflow",priority,company,1000+ employees,,https://zapier.com,manual_seed
Writer,https://writer.com,ai_workflow_productivity,"artificial-intelligence,generative-ai,productivity,workflow-automation,enterprise-software","Enterprise generative AI platform for business workflows.","L'Oreal AI workflow work and recruiting/outreach content systems create a pitch around enterprise AI adoption and workflow quality.","L'Oreal AI workflow project; FlairX AI PM internship; communication/content engine work.","Product, AI product, enterprise workflow product, strategy",priority,company,200+ employees,,https://writer.com,manual_seed
Glean,https://www.glean.com,ai_workflow_productivity,"artificial-intelligence,productivity,enterprise-search,workflow-automation,data-platform","Enterprise AI search and knowledge platform.","ResumeGenerator/Outreach and data-platform background create a pitch around knowledge workflows, retrieval, and productivity systems.","Hevo data/platform engineering; ResumeGenerator/Outreach system; L'Oreal AI workflow project.","Product, AI product, enterprise productivity product, strategy",priority,company,1000+ employees,,https://www.glean.com,manual_seed
