source_id,label,source_kind,base_url,extraction_method,owner,last_run_at,notes
src-relationship-leads-rel-relationship-2c2d8bc42d25,Relationship lead import rel-relationship-2c2d8bc42d25,manual,/Users/akshat/Desktop/Claude projects/Outreach/workspace/relationship_leads_public_web_2026-07-11.staged.csv,reviewed_curated_csv_import,outreach-engine,2026-07-11T05:53:22+00:00,One-time/low-frequency reviewed relationship lead batch | source_key=manual | batch_id=rel-relationship-2c2d8bc42d25 | staged_sha256=8f5f7b910fef753926d402c2b50ac303627ed9fb38a25c499f70c8c7a696c3b9
src-relationship-leads-rel-peoplegrove-usc-b7b57dd1c318,Relationship lead import rel-peoplegrove-usc-b7b57dd1c318,university_directory,/Users/akshat/Desktop/Claude projects/Outreach/workspace/relationship_leads_peoplegrove_curated_2026-07-11.staged.csv,reviewed_curated_csv_import,outreach-engine,2026-07-11T08:34:28+00:00,One-time/low-frequency reviewed relationship lead batch | source_key=peoplegrove_usc | batch_id=rel-peoplegrove-usc-b7b57dd1c318 | staged_sha256=6525ba3f551554ed56ef6b93e1555cbdf68754b1d88d7b3e36f47d7040d81601
src-relationship-leads-rel-relationship-916ec111b0fd,Relationship lead import rel-relationship-916ec111b0fd,university_directory,/Users/akshat/Desktop/Claude projects/Outreach/workspace/relationship_leads_public_web_peoplegrove_2026-07-11.staged.csv,reviewed_curated_csv_import,outreach-engine,2026-07-11T08:34:36+00:00,One-time/low-frequency reviewed relationship lead batch | source_key=manual | batch_id=rel-relationship-916ec111b0fd | staged_sha256=2a3b3b63c15b28f99fec58c862b9ebc631c64e76f0a435219173bed7cfb7f677
src-linkedin-abridge,LinkedIn people search for Abridge,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:21:08+00:00,Imported from 20260711-162108-dry-run-pipeline.json
src-linkedin-airbyte,LinkedIn people search for Airbyte,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:23:36+00:00,Imported from 20260711-162336-dry-run-pipeline.json
src-linkedin-vercel,LinkedIn people search for Vercel,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:26:23+00:00,Imported from 20260711-162623-dry-run-pipeline.json
src-linkedin-anam-ai,LinkedIn people search for Anam AI,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:28:16+00:00,Imported from 20260711-162816-dry-run-pipeline.json
src-linkedin-assembled,LinkedIn people search for Assembled,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:30:52+00:00,Imported from 20260711-163052-dry-run-pipeline.json
src-linkedin-axle-health,LinkedIn people search for Axle Health,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:33:35+00:00,Imported from 20260711-163335-dry-run-pipeline.json
src-linkedin-bellagent,LinkedIn people search for Bellagent,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:36:22+00:00,Imported from 20260711-163622-dry-run-pipeline.json
src-linkedin-collectly,LinkedIn people search for Collectly,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:39:09+00:00,Imported from 20260711-163909-dry-run-pipeline.json
src-linkedin-delinea,LinkedIn people search for Delinea,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:42:28+00:00,Imported from 20260711-164228-dry-run-pipeline.json
src-linkedin-scale-jobs,LinkedIn people search for Scale.jobs,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:50:22+00:00,Imported from 20260711-165022-dry-run-pipeline.json
src-linkedin-commure,LinkedIn people search for Commure,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:52:20+00:00,Imported from 20260711-165220-dry-run-pipeline.json
src-linkedin-etched,LinkedIn people search for Etched,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-11T16:54:54+00:00,Imported from 20260711-165454-dry-run-pipeline.json
src-linkedin-1password,LinkedIn people search for 1Password,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T11:44:55+00:00,Imported from 20260712-114455-dry-run-pipeline.json
src-linkedin-amperesand,LinkedIn people search for Amperesand,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T11:47:20+00:00,Imported from 20260712-114720-dry-run-pipeline.json
src-linkedin-checkr,LinkedIn people search for Checkr,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T11:51:05+00:00,Imported from 20260712-115105-dry-run-pipeline.json
src-linkedin-recurly,LinkedIn people search for Recurly,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T11:53:26+00:00,Imported from 20260712-115326-dry-run-pipeline.json
src-linkedin-redox,LinkedIn people search for Redox,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T11:55:50+00:00,Imported from 20260712-115550-dry-run-pipeline.json
src-linkedin-revolut,LinkedIn people search for Revolut,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T11:58:14+00:00,Imported from 20260712-115814-dry-run-pipeline.json
src-linkedin-sentinelone,LinkedIn people search for SentinelOne,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T12:00:49+00:00,Imported from 20260712-120049-dry-run-pipeline.json
src-linkedin-writer,LinkedIn people search for Writer,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T12:56:38+00:00,Imported from 20260712-125638-dry-run-pipeline.json
src-linkedin-xylem,LinkedIn people search for Xylem,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-12T12:59:22+00:00,Imported from 20260712-125922-dry-run-pipeline.json
src-linkedin-flexon-technologies-talent360-ai,LinkedIn people search for Flexon Technologies Talent360.ai,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T01:56:52+00:00,Imported from 20260713-015652-dry-run-pipeline.json
src-linkedin-actian,LinkedIn people search for Actian,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T02:03:59+00:00,Imported from 20260713-020359-dry-run-pipeline.json
src-linkedin-charles-river-associates,LinkedIn people search for Charles River Associates,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T02:08:42+00:00,Imported from 20260713-020842-dry-run-pipeline.json
src-linkedin-eliseai,LinkedIn people search for EliseAI,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T02:11:12+00:00,Imported from 20260713-021112-dry-run-pipeline.json
src-linkedin-entrust,LinkedIn people search for Entrust,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T02:13:31+00:00,Imported from 20260713-021331-dry-run-pipeline.json
src-linkedin-genpact,LinkedIn people search for Genpact,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T02:15:55+00:00,Imported from 20260713-021555-dry-run-pipeline.json
src-linkedin-heygen,LinkedIn people search for HeyGen,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T02:18:17+00:00,Imported from 20260713-021817-dry-run-pipeline.json
src-linkedin-trueml,LinkedIn people search for TrueML,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T02:23:13+00:00,Imported from 20260713-022313-dry-run-pipeline.json
src-linkedin-you-com,LinkedIn people search for You.com,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-13T02:25:42+00:00,Imported from 20260713-022542-dry-run-pipeline.json
src-relationship-leads-rel-relationship-2b89a1e73b85,Relationship lead import rel-relationship-2b89a1e73b85,linkedin,/Users/akshat/Desktop/Claude projects/Outreach/workspace/relationship_leads_linkedin_institution_first.staged.csv,reviewed_curated_csv_import,outreach-engine,2026-07-14T07:51:38+00:00,One-time/low-frequency reviewed relationship lead batch | source_key=manual | batch_id=rel-relationship-2b89a1e73b85 | staged_sha256=f0b4aebb1effab29bc3711166960bdcfee3cb75ab701bc722ef5214369c26f30
src-linkedin-automotivemastermind-inc,LinkedIn people search for automotiveMastermind Inc.,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-14T21:37:03+00:00,Imported from 20260714-213703-dry-run-pipeline.json
src-linkedin-benchling,LinkedIn people search for Benchling,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-14T21:39:41+00:00,Imported from 20260714-213941-dry-run-pipeline.json
src-linkedin-trimble-inc,LinkedIn people search for Trimble Inc.,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-14T21:49:58+00:00,Imported from 20260714-214958-dry-run-pipeline.json
src-linkedin-waabi,LinkedIn people search for Waabi,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-14T21:52:41+00:00,Imported from 20260714-215241-dry-run-pipeline.json
src-linkedin-datadog,LinkedIn people search for Datadog,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-14T21:54:33+00:00,Imported from 20260714-215433-dry-run-pipeline.json
src-linkedin-motive,LinkedIn people search for Motive,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-14T21:57:10+00:00,Imported from 20260714-215710-dry-run-pipeline.json
src-linkedin-alchemy,LinkedIn people search for Alchemy,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T02:02:12+00:00,Imported from 20260715-020212-dry-run-pipeline.json
src-linkedin-doximity,LinkedIn people search for Doximity,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T02:04:30+00:00,Imported from 20260715-020430-dry-run-pipeline.json
src-linkedin-fivetran,LinkedIn people search for Fivetran,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T02:06:08+00:00,Imported from 20260715-020608-dry-run-pipeline.json
src-linkedin-plaid,LinkedIn people search for Plaid,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T02:08:43+00:00,Imported from 20260715-020843-dry-run-pipeline.json
src-linkedin-ramp,LinkedIn people search for Ramp,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T02:10:32+00:00,Imported from 20260715-021032-dry-run-pipeline.json
src-linkedin-shield-ai,LinkedIn people search for Shield AI,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T02:12:56+00:00,Imported from 20260715-021256-dry-run-pipeline.json
src-linkedin-sprinter-health,LinkedIn people search for Sprinter Health,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T02:15:26+00:00,Imported from 20260715-021526-dry-run-pipeline.json
src-linkedin-galaxy,LinkedIn people search for Galaxy,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T22:47:47+00:00,Imported from 20260715-224747-dry-run-pipeline.json
src-linkedin-merlin-ai,LinkedIn people search for Merlin AI,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T22:49:19+00:00,Imported from 20260715-224919-dry-run-pipeline.json
src-linkedin-operon,LinkedIn people search for Operon,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T22:51:34+00:00,Imported from 20260715-225134-dry-run-pipeline.json
src-linkedin-celonis,LinkedIn people search for Celonis,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T22:55:06+00:00,Imported from 20260715-225506-dry-run-pipeline.json
src-linkedin-databricks,LinkedIn people search for Databricks,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T22:58:55+00:00,Imported from 20260715-225855-dry-run-pipeline.json
src-linkedin-retool,LinkedIn people search for Retool,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T23:02:33+00:00,Imported from 20260715-230233-dry-run-pipeline.json
src-linkedin-zapier,LinkedIn people search for Zapier,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-15T23:06:18+00:00,Imported from 20260715-230618-dry-run-pipeline.json
src-linkedin-workwhile,LinkedIn people search for WorkWhile,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-16T12:41:33+00:00,Imported from 20260716-124133-dry-run-pipeline.json
src-linkedin-crexi,LinkedIn people search for Crexi,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-16T12:47:44+00:00,Imported from 20260716-124744-dry-run-pipeline.json
src-linkedin-flairx,LinkedIn people search for FlairX,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-16T12:51:18+00:00,Imported from 20260716-125118-dry-run-pipeline.json
src-linkedin-gumgum,LinkedIn people search for GumGum,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-16T12:57:14+00:00,Imported from 20260716-125714-dry-run-pipeline.json
src-linkedin-liftoff,LinkedIn people search for Liftoff,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-16T13:01:29+00:00,Imported from 20260716-130129-dry-run-pipeline.json
src-linkedin-postman,LinkedIn people search for Postman,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-16T13:06:07+00:00,Imported from 20260716-130607-dry-run-pipeline.json
src-linkedin-relay,LinkedIn people search for Relay,linkedin,https://www.linkedin.com/search/results/people/,artifact_import,outreach-engine,2026-07-16T13:09:49+00:00,Imported from 20260716-130949-dry-run-pipeline.json
