company,name,title,mapped,role_bucket,connection_degree,score,score_ge_35,note_qc,note,company_cap,min_score,selected_for_company,company_sent
Datadog,Sedona Lewis,Software Engineer II @ Datadog,no,Engineering,3rd+,52,yes,send,Hi Sedona - fellow Trojan here! I'm a Marshall MBA exploring technical PM at Datadog from a Hevo monitoring and platform engineering background. Does that fit? Any recommendations on who I should talk to about product roles there?,3,35,3,True
Datadog,Roli Bhardwaj,Software Engineer at Datadog | Ex-Amazon,no,Engineering,3rd+,52,yes,send,"Hi Roli, fellow Trojan here - I'm exploring technical PM roles at Datadog from my Hevo platform engineering background. Your work there is exactly the kind of observability and developer-facing product I'm interested in. Who should I talk to about that?",3,35,3,True
Datadog,Matthew Li,Software Engineer @ Datadog,no,Engineering,3rd+,52,yes,send,"Hi Matthew, fellow Trojan here - I'm at USC Marshall and exploring PM roles at Datadog after building data products and enterprise systems. Would value any guidance you're open to sharing. Fight On!",3,35,3,True
Datadog,Kevin Wang,Software Engineer,no,Engineering,3rd+,52,yes,send,"Hi Kevin, fellow Trojan here - I'm exploring technical PM roles at Datadog from my Hevo monitoring and platform engineering background. That maps to observability and developer-facing products. Does that background fit product work there? Any recommendations on who I should talk to?",3,35,3,True
Datadog,Jeffrey Jow,Software engineer,no,Engineering,3rd+,52,yes,send,"Hi Jeffrey, fellow Trojan here - I'm exploring PM opportunities at Datadog as a Marshall MBA with enterprise software/data platform experience. I'd value your take on positioning myself well. Fight On!",3,35,3,True
Datadog,Ines Kim,Software Engineer at Datadog,no,Engineering,3rd+,52,yes,send,"Hi Ines, fellow Trojan here - I'm exploring technical PM at Datadog from a Hevo monitoring and platform engineering background. Does that fit product work there? Any recs on who I should talk to?",3,35,3,True
Datadog,Bi Wang,Senior Software Engineer,no,Engineering,3rd+,52,yes,send,"Hi Bi, fellow Trojan here - I'm exploring PM opportunities at Datadog as a Marshall MBA with enterprise software/data platform experience. I'd value your take on positioning myself well. Fight On!",3,35,3,True
Datadog,Aya Shimizu,Senior Software Engineer at DataDog,no,Engineering,3rd+,52,yes,send,"Hi Aya, fellow Trojan here - I'm exploring PM roles at Datadog with a data platform and enterprise software background. I'd value your quick thoughts on approaching the team. Fight On!",3,35,3,True
Datadog,Emu Eghre-Bello,Software Engineer @ Datadog | USC Alumna,yes,Engineering,3rd,42,yes,send,"Hi Emu, fellow Trojan here - I'm exploring PM roles at Datadog with a data platform and enterprise software background. I'd value your quick thoughts on approaching the team. Fight On!",3,35,3,True
Datadog,Daniel Blazquez,Product Manager at Datadog,no,Product,2nd,48,yes,,,3,35,3,True
Datadog,Justin Hsu,Software Engineer at Datadog,no,Engineering,2nd,42,yes,,,3,35,3,True
Datadog,Vidur Khanna,Product Manager at Datadog,yes,Product,3rd,8,no,send,"Hi Vidur, I'm a Marshall MBA student and former data/platform engineer at Hevo exploring technical PM roles. My monitoring and infrastructure work maps directly to observability and incident workflows. Does that background seem relevant to product at Datadog, and if so, who should I talk to next?",3,35,3,True
Datadog,Sumedha Mehta,Senior Product Manager at Datadog,yes,Product,3rd,8,no,send,"Hi Sumedha, I'm a Marshall MBA and former data/platform engineer from Hevo, now exploring technical product roles. Built monitoring platforms and infrastructure systems - curious if that's useful for incident workflows or developer tooling at Datadog. Open to a quick conversation?",3,35,3,True
Datadog,Sophia Hu,Product Manager @ Datadog,yes,Product,3rd,8,no,send,"Hi Sophia, I'm a Marshall MBA and former data/platform engineer from Hevo exploring technical PM roles at Datadog. My monitoring and infrastructure background feels relevant to observability work. Is that useful for your team, or who should I talk to?",3,35,3,True
Datadog,Shah Ahmed,Product Manager,yes,Product,3rd,8,no,send,"Hi Shah, I'm a Marshall MBA and former platform engineer at Hevo - monitoring and infrastructure work. That maps to observability and incident workflows. Who should I talk to about technical PM roles at Datadog?",3,35,3,True
Datadog,Rebecca Gadzuk,"GPM Datadog | Ex-Spotify, Ex-NetSuite",yes,Product,3rd,8,no,send,"Hi Rebecca, I'm a Marshall MBA and former data/platform engineer at Hevo, now exploring technical product roles at Datadog. My background in monitoring and platform work aligns with observability and incident workflows. What helps technical PM candidates stand out to your team?",3,35,3,True
Datadog,Mariana Frangos,Product Manager @ Datadog | Stanford Mathematical and Computational Science | ex-Microsoft,yes,Product,3rd,8,no,send,"Hi Mariana, I'm a Marshall MBA and former data/platform engineer at Hevo exploring technical PM roles at Datadog. My background in monitoring and platform infrastructure feels relevant to observability work - does that resonate? Would love a pointer on where I might fit.",3,35,3,True
Datadog,Mahashree Rajendran,Product Manager - Datadog,yes,Product,3rd,8,no,send,"Hi Mahashree, I'm a Marshall MBA and former data/platform engineer from Hevo exploring technical PM roles. My monitoring and platform engineering work touches observability and incident workflows - exactly the developer-facing surfaces Datadog builds. Does that background seem useful to your team?",3,35,3,True
Datadog,John C. Harker,Senior Product Manager for Cloudcraft at Datadog,yes,Product,3rd,8,no,send,"Hi John, I'm a Marshall MBA + former data/platform engineer exploring product roles at Datadog. Datadog's data reliability and monitoring work maps directly to my engineering work at Hevo. Open to connecting?",3,35,3,True
Datadog,Shallav Varma,Software Engineer @ Datadog,yes,Engineering,3rd,2,no,send,"Hi Shallav, I'm a Marshall MBA and former data/platform engineer exploring technical PM roles at Datadog. My monitoring and platform background at Hevo maps directly to observability work. How do technical PMs stand out there, or who should I talk to about that?",3,35,3,True
Datadog,Sangeeta Shivaji Rao,Senior Software Engineer at Datadog,yes,Engineering,3rd,2,no,send,"Hi Sangeeta, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at Datadog. Datadog's data reliability and monitoring work maps directly to my engineering work at Hevo. I'd value a quick pointer on how builders work with product there.",3,35,3,True
Datadog,Justin Francis,Software Engineer at Datadog,yes,Engineering,3rd,2,no,send,"Hi Justin, I'm a former backend/data engineer now at USC Marshall exploring PM/product roles at Datadog. Datadog's data reliability and monitoring work maps directly to my engineering work at Hevo. I'd value a quick pointer on how builders work with product there.",3,35,3,True
Datadog,Helen L.,Software Engineer @ Datadog,yes,Engineering,3rd,2,no,send,"Hi Helen, I'm a Marshall MBA + former engineer looking at product roles at Datadog. Datadog's data reliability and monitoring work maps directly to my engineering work at Hevo. I'd value your take on how builders influence product there.",3,35,3,True
Datadog,Ashna Srivastava,"Software Engineer @ Datadog | Prev @ Figma, Linkedin",yes,Engineering,3rd,2,no,send,"Hi Ashna, I'm a Marshall MBA + former data/platform engineer exploring PM/product roles at Datadog. Datadog's data reliability and monitoring work maps directly to my engineering work at Hevo. I'd value your take on how technical PMs can stand out.",3,35,3,True
Datadog,Amy Li,Senior Software Engineer at Datadog,yes,Engineering,3rd,2,no,send,"Hi Amy, I'm a Marshall MBA + former engineer looking at product roles at Datadog. Datadog's data reliability and monitoring work maps directly to my engineering work at Hevo. I'd value your take on how builders influence product there.",3,35,3,True
Delinea,Nick B.,Sr. Product Manager,yes,Product,3rd,8,no,send,"Hi Nick, I'm a Marshall student and former data/platform engineer exploring technical PM roles. Does Delinea's product team hire interns, and if so, would my engineering background be useful there?",3,35,0,False
Delinea,Jonathan Rye,"Senior GTM Executive & Operator | SVP -​> COO | Revenue Architecture, Sales Strategy & Cross-Functional Leadership | Business Transformation | Consumption Transformation | 23 Years Building Revenue Engines",yes,Engineering,3rd,2,no,send,"Hi Jonathan, I'm a Marshall MBA and former data/platform engineer exploring technical PM roles at Delinea. Does that background fit product work there? Any recommendations on who I should talk to about it?",3,35,0,False
Delinea,Arik Waisman,Senior Software Engineer | Full-Stack & Front-End,yes,Engineering,3rd,2,no,send,"Hi Arik, I'm a Marshall MBA and former engineer exploring technical PM roles at Delinea. Since you've shipped on the engineering side, how do builders actually influence product decisions there? Any recommendations on who I should talk to about breaking in?",3,35,0,False
Delinea,Brianna Schenk,"Senior Director, Americas Sales Operations at Delinea | GTM Strategy, Planning & Revenue Operations Leader | UCLA Anderson MBA",yes,Adjacent,3rd,-15,no,send,"Hi Brianna, I'm a Marshall MBA and former data/platform engineer building toward technical product at Delinea where data and operations meet. Your GTM and revenue ops work is exactly that intersection. Who in product should I talk to?",3,35,0,False
Delinea,Leslie Wiggins,"Senior Director, Customer Product Marketing, Delinea",yes,Other,3rd,-25,no,send,"Hi Leslie, I'm a Marshall MBA and former engineer targeting technical product roles at Delinea. What's one thing I should know about what your team is working on - and who's the right person for me to talk to about opportunities?",3,35,0,False
Etched,Alex Tse,Business Systems Manager | Product Manager | Solutions Engineer | Manufacturing Engineer | Infrastructure | Tech | Aerospace & Defense | Biotech,no,Adjacent,3rd+,35,yes,send,"Hi Alex, fellow Trojan here - I'm a Marshall MBA with data and platform engineering background, now exploring technical PM roles. Given your path from Microsoft PM to systems work, I'd be grateful for a routing suggestion - who else at Etched should I talk to? Fight On!",3,35,1,True
Etched,Yatender Mishra,Frontier AI Inference Silicon | SOC/IP Design | Program/Product/Design Engineering Management,no,Engineering,1st,112,yes,send,"Thanks for connecting, Yatender. I'm a Marshall MBA and former engineer exploring technical PM at Etched - especially interested in how builders like you influence product decisions on the inference side. Any recommendations on people I should talk to about that?",3,35,1,True
Etched,Gautam Gupta,Member of Technical Staff @ Etched | PhD in Mechanical Engineering,no,Engineering,1st,112,yes,send,"Hi Gautam, thanks for connecting. I'm exploring technical PM at Etched from an engineering background. How do builders actually influence product decisions there? Any concrete pointers on who I should talk to?",3,35,1,True
Etched,Rohan Sreerama,Software Engineer,no,Engineering,2nd,42,yes,send,"Hi Rohan, I'm a Marshall MBA + former data/platform engineer exploring PM/product roles at Etched. Since you're on the engineering side there, I'd value a pointer on how technical PM candidates can stand out.",3,35,1,True
