company,website,story_cluster,tags,description,why_you_have_a_case,profile_evidence,target_roles,priority,organization_type,team_size,city,source_url,verification_status
HeyGen,https://www.heygen.com,hr_tech_domain_wedge,"artificial-intelligence,generative-ai,avatar,video,hiring-adjacent","Generative avatar/video platform; $100M ARR Oct 2025, profitable since Q2 2023, ~100K paying businesses. LA HQ.","Ziva avatar/interview layer is directly adjacent; FlairX AI-interview work gives a concrete product wedge into live-avatar and enterprise video workflows. Posted PM comp $160-210K base.","FlairX AI PM internship (Ziva); L'Oreal AI workflow; ResumeGenerator/Outreach.","Product, AI product, growth, strategic projects",core,company,~200,Los Angeles,https://www.heygen.com,research_verified_2026_07
Synthesia,https://www.synthesia.io,hr_tech_domain_wedge,"artificial-intelligence,generative-ai,avatar,video,enterprise-software","Enterprise AI-video leader; $4B valuation Jan 2026, ~$146M ARR, ~90% of Fortune 100 as customers.","Enterprise avatar/video is the picks-and-shovels layer under Ziva-style products; FlairX experience plus data/platform background supports an enterprise AI-video product pitch.","FlairX AI PM internship; Hevo enterprise data workflows; Marshall MBA.","Product, enterprise product, AI product, strategic projects",priority,company,400+,New York/London,https://www.synthesia.io,research_verified_2026_07
Tavus,https://www.tavus.io,hr_tech_domain_wedge,"artificial-intelligence,conversational-ai,avatar,video,api","Conversational video AI / 'human computing' (PALs); $40M Series B Nov 2025; Sequoia, CRV, YC.","Real-time conversational avatars are exactly the Ziva interview surface; deep-tech small team means high ownership and a founder-reachable product org.","FlairX Ziva AI-interview product work; applied AI workflow projects.","Product, AI product, founder/exec, strategic projects",core,startup,~50,San Francisco,https://www.tavus.io,research_verified_2026_07
Eightfold.ai,https://eightfold.ai,hr_tech_domain_wedge,"artificial-intelligence,talent-intelligence,hiring,recruiting-tech,enterprise-software","Enterprise talent-intelligence platform; $2.1B valuation; launched own AI Interviewer Oct 2025.","Their new AI Interviewer is the exact product category Akshat builds at FlairX; enterprise AI + hiring domain knowledge is the wedge.","FlairX AI-interview PM work; Hevo enterprise data; Optum regulated AI exposure.","Product, AI product, talent intelligence product, strategic projects",priority,company,~900,Santa Clara,https://eightfold.ai,research_verified_2026_07
Greenhouse,https://www.greenhouse.com,hr_tech_domain_wedge,"hiring,recruiting-tech,ats,saas,enterprise-software","#1 ATS brand; ~$200M+ ARR; TPG-owned; IPO/strategic-exit candidate.","Hiring-tech product credential (FlairX + ResumeGenerator/Outreach) maps directly onto the category-defining ATS; strong prestige + alumni network.","FlairX; ResumeGenerator/Outreach recruiting engine; Marshall MBA.","Product, platform product, strategic projects, product ops",priority,company,~935,New York,https://www.greenhouse.com,research_verified_2026_07
HireVue,https://www.hirevue.com,hr_tech_domain_wedge,"artificial-intelligence,hiring,interviewing,recruiting-tech,enterprise-software","Mature AI-interviewing incumbent; 1,150+ customers, 60%+ of Fortune 100; Carlyle-owned.","The most direct stable Ziva peer: building a competing AI-interview product is an unusually concrete credential for their product org.","FlairX Ziva AI-interview PM work; applied AI evaluation workflows.","Product, AI product, product ops",priority,company,~700,Utah/Remote,https://www.hirevue.com,research_verified_2026_07
Apriora,https://www.apriora.ai,hr_tech_domain_wedge,"artificial-intelligence,interviewing,hiring,recruiting-tech,conversational-ai","'Alex' AI interviewer; YC-backed, ~$19.8M raised (Peak XV, 1984 Ventures); fast-growing.","Direct Ziva competitor — highest founder-yes odds on the board; a founder can create a fall slot in one conversation. Mind FlairX conflict timing.","FlairX Ziva (direct category overlap); ResumeGenerator/Outreach.","Founder/exec, product, AI product",core,startup,~30,San Francisco,https://www.apriora.ai,research_verified_2026_07
Gem,https://www.gem.com,hr_tech_domain_wedge,"hiring,recruiting-tech,crm,sourcing,saas","Recruiting CRM + rising ATS; $1.2B valuation; ICONIQ/Greylock/Accel; ATS pivot grew 11x in 18 months.","Rebuilding product around the ATS pivot while brand is strong; hiring-tech shipping credential is the case. Layoffs/stalled funding known — fall-intern objective tolerates it.","FlairX; ResumeGenerator/Outreach recruiting engine.","Product, growth product, product ops",priority,company,~250,San Francisco,https://www.gem.com,research_verified_2026_07
Ribbon,https://www.ribbon.ai,hr_tech_domain_wedge,"artificial-intelligence,voice-ai,interviewing,recruiting-tech","Voice-AI interviewing for high-turnover sectors; ~$8.2M seed (Radical Ventures).","Direct AI-interview domain overlap at the earliest stage; validate remote/geo (Toronto) and capacity before invites.","FlairX Ziva AI-interview work.","Founder/exec, product",watch,startup,~15,Toronto,https://www.ribbon.ai,research_verified_2026_07
ConverzAI,https://www.converzai.com,hr_tech_domain_wedge,"artificial-intelligence,voice-ai,recruiting-tech,staffing","AI voice recruiter for staffing; $16M Series A (Menlo Ventures).","Voice-AI recruiting overlaps the Ziva domain; staffing focus and Seattle base need an intern-feasibility check first.","FlairX AI-interview product work.","Product, AI product",watch,startup,~50,Seattle,https://www.converzai.com,research_verified_2026_07
Sapia.ai,https://sapia.ai,hr_tech_domain_wedge,"artificial-intelligence,interviewing,hiring,chat","Chat-based structured-interview AI; Qantas/Starbucks/Woolworths logos; ~$24M raised.","Structured-interview AI is the same problem space as Ziva; Australia timezone and slow funding cadence — validate before spend.","FlairX Ziva AI-interview work.","Product, AI product",watch,company,~100,Australia,https://sapia.ai,research_verified_2026_07
Beamery,https://beamery.com,hr_tech_domain_wedge,"hiring,recruiting-tech,crm,talent","Talent lifecycle CRM; $1B valuation 2022; repeated layoffs 2023 (12% then 25%); weak Glassdoor.","Warm-path-only: mid-cost-cut companies rarely fund interns and culture reviews are poor. Keep visible, spend nothing proactively.","FlairX; recruiting-engine work.","Product",watch,company,~300,Verify remote,https://beamery.com,research_verified_2026_07
SeekOut,https://www.seekout.com,hr_tech_domain_wedge,"hiring,recruiting-tech,sourcing,talent-intelligence","AI talent sourcing; $1.2B valuation 2022; ~30% layoff May 2024 amid cash-burn crisis.","Warm-path-only: intern budget unlikely mid-turmoil. Keep visible for a warm path, no proactive invites.","FlairX; recruiting-engine work.","Product",watch,company,~150,Verify remote,https://www.seekout.com,research_verified_2026_07
